order_date,order_id,id_rule,nm_rule
2023-04-03T09:28:48+00:00,584677,2,men_week
2023-04-02T21:59:02+00:00,584021,3,women_weekend
2023-04-02T22:32:10+00:00,584058,3,women_weekend
2023-04-02T22:58:05+00:00,584093,3,women_weekend
2023-03-27T03:48:58+00:00,574916,2,men_week
2023-03-26T21:44:38+00:00,574586,3,women_weekend
2023-03-20T09:27:22+00:00,565855,2,men_week
2023-04-03T02:19:41+00:00,723055,2,men_week
2023-03-26T00:59:02+00:00,727462,3,women_weekend
2023-04-03T03:41:46+00:00,727269,4,women_week
2023-03-27T10:46:34+00:00,727381,4,women_week
2023-04-04T13:10:34+00:00,718424,2,men_week
2023-04-05T14:15:22+00:00,720666,2,men_week
2023-03-27T19:59:31+00:00,715061,2,men_week
2023-03-28T21:24:29+00:00,721826,2,men_week
2023-04-08T08:28:19+00:00,716724,1,men_weekend
2023-03-30T04:48:00+00:00,578916,2,men_week
2023-03-29T18:23:02+00:00,578355,2,men_week
2023-03-28T11:32:38+00:00,576663,2,men_week
2023-03-28T12:15:50+00:00,576696,4,women_week
2023-03-27T12:47:31+00:00,575420,4,women_week
2023-03-30T23:29:46+00:00,579953,4,women_week
2023-03-31T00:18:43+00:00,579996,4,women_week
2023-03-31T00:59:02+00:00,580047,2,men_week
2023-03-31T01:33:36+00:00,580088,4,women_week
2023-03-31T02:57:07+00:00,580168,2,men_week
2023-03-28T16:07:41+00:00,576925,4,women_week
2023-03-24T00:15:50+00:00,570708,4,women_week
2023-03-23T21:04:19+00:00,570552,4,women_week
2023-03-31T03:44:38+00:00,580214,4,women_week
2023-03-31T05:24:00+00:00,580305,2,men_week
2023-03-27T19:52:19+00:00,575780,4,women_week
2023-03-30T04:55:12+00:00,578926,2,men_week
2023-03-30T05:51:22+00:00,578975,2,men_week
2023-03-30T06:33:07+00:00,579014,4,women_week
2023-03-30T00:02:53+00:00,578650,2,men_week
2023-03-28T00:25:55+00:00,576030,2,men_week
2023-03-28T00:47:31+00:00,576063,4,women_week
2023-03-27T07:22:05+00:00,575119,2,men_week
2023-03-22T08:12:29+00:00,568397,2,men_week
2023-03-22T01:26:24+00:00,568044,2,men_week
2023-04-08T12:34:34+00:00,591503,3,women_weekend
2023-03-28T03:30:14+00:00,576205,4,women_week
